,Phone,Area_Code,State,Churn,Intl_Plan,Vmail_Plan,CustServ_Calls,Vmail_Message,Account_Length,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,Total_Mins,Day_Calls,Eve_Calls,Night_Calls,Intl_Calls,Day_Charge,Eve_Charge,Night_Charge,Intl_Charge,Total_Calls,Total_Charge,Avg_Daily_Charge,Avg_Cost_Per_Minute,Avg_Minutes_Per_Call,Avg_Cost_Per_Call,Day_Mins_to_Total,Eve_Mins_to_Total,Night_Mins_to_Total,Intl_Mins_to_Total,Day_Charge_to_Total,Eve_Charge_to_Total,Night_Charge_to_Total,Intl_Charge_to_Total,Care_Status,Total_Charge_Over_70
0,382-4657,415,KS,no,no,yes,1,25,128,265.1,197.4,244.7,10.0,717.2,110,99,91,3,45.07,16.78,11.01,2.7,303,75.56,0.59,0.11,2.37,0.25,36.96,27.52,34.12,1.39,59.65,22.21,14.57,3.57,low,yes
1,371-7191,415,OH,no,no,yes,1,26,107,161.6,195.5,254.4,13.7,625.2,123,103,103,3,27.47,16.62,11.45,3.7,332,59.24,0.55,0.09,1.88,0.18,25.85,31.27,40.69,2.19,46.37,28.06,19.33,6.25,low,no
2,358-1921,415,NJ,no,no,no,0,0,137,243.4,121.2,162.6,12.2,539.4,114,110,104,5,41.38,10.3,7.32,3.29,333,62.29,0.45,0.12,1.62,0.19,45.12,22.47,30.14,2.26,66.43,16.54,11.75,5.28,none,no
3,375-9999,408,OH,no,yes,no,2,0,84,299.4,61.9,196.9,6.6,564.8,71,88,89,7,50.9,5.26,8.86,1.78,255,66.8,0.8,0.12,2.21,0.26,53.01,10.96,34.86,1.17,76.2,7.87,13.26,2.66,high,no
4,330-6626,415,OK,no,yes,no,3,0,75,166.7,148.3,186.9,10.1,512.0,113,122,121,3,28.34,12.61,8.41,2.73,359,52.09,0.69,0.1,1.43,0.15,32.56,28.96,36.5,1.97,54.41,24.21,16.15,5.24,critical,no
5,391-8027,510,AL,no,yes,no,0,0,118,223.4,220.6,203.9,6.3,654.2,98,101,118,6,37.98,18.75,9.18,1.7,323,67.61,0.57,0.1,2.03,0.21,34.15,33.72,31.17,0.96,56.18,27.73,13.58,2.51,none,no
6,355-9993,510,MA,no,no,yes,3,24,121,218.2,348.5,212.6,7.5,786.8,88,108,118,7,37.09,29.62,9.57,2.03,321,78.31,0.65,0.1,2.45,0.24,27.73,44.29,27.02,0.95,47.36,37.82,12.22,2.59,critical,yes
7,329-9001,415,MO,no,yes,no,0,0,147,157.0,103.1,211.8,7.1,479.0,79,94,96,6,26.69,8.76,9.53,1.92,275,46.9,0.32,0.1,1.74,0.17,32.78,21.52,44.22,1.48,56.91,18.68,20.32,4.09,none,no
8,335-4719,408,LA,no,no,no,1,0,117,184.5,351.6,215.8,8.7,760.6,97,80,90,4,31.37,29.89,9.71,2.35,271,73.32,0.63,0.1,2.81,0.27,24.26,46.23,28.37,1.14,42.79,40.77,13.24,3.21,low,yes
9,330-8173,415,WV,no,yes,yes,0,37,141,258.6,222.0,326.4,11.2,818.2,84,111,97,5,43.96,18.87,14.69,3.02,297,80.54,0.57,0.1,2.75,0.27,31.61,27.13,39.89,1.37,54.58,23.43,18.24,3.75,none,yes
10,329-6603,415,IN,yes,no,no,4,0,65,129.1,228.5,208.8,12.7,579.1,137,83,111,6,21.95,19.42,9.4,3.43,337,54.2,0.83,0.09,1.72,0.16,22.29,39.46,36.06,2.19,40.5,35.83,17.34,6.33,critical,no
11,344-9403,415,RI,no,no,no,0,0,74,187.7,163.4,196.0,9.1,556.2,127,148,94,5,31.91,13.89,8.82,2.46,374,57.08,0.77,0.1,1.49,0.15,33.75,29.38,35.24,1.64,55.9,24.33,15.45,4.31,none,no
12,363-1107,408,IA,no,no,no,1,0,168,128.8,104.9,141.1,11.2,386.0,96,71,128,2,21.9,8.92,6.35,3.02,297,40.19,0.24,0.1,1.3,0.14,33.37,27.18,36.55,2.9,54.49,22.19,15.8,7.51,low,no
13,394-8006,510,MT,no,no,no,3,0,95,156.6,247.6,192.3,12.3,608.8,88,75,115,5,26.62,21.05,8.65,3.32,283,59.64,0.63,0.1,2.15,0.21,25.72,40.67,31.59,2.02,44.63,35.3,14.5,5.57,critical,no
14,366-9238,415,IA,no,no,no,4,0,62,120.7,307.2,203.0,13.1,644.0,70,76,99,6,20.52,26.11,9.14,3.54,251,59.31,0.96,0.09,2.57,0.24,18.74,47.7,31.52,2.03,34.6,44.02,15.41,5.97,critical,no
15,351-7269,415,NY,yes,no,no,4,0,161,332.9,317.8,160.6,5.4,816.7,67,97,128,9,56.59,27.01,7.23,1.46,301,92.29,0.57,0.11,2.71,0.31,40.76,38.91,19.66,0.66,61.32,29.27,7.83,1.58,critical,yes
16,350-8884,408,ID,no,no,yes,1,27,85,196.4,280.9,89.3,13.8,580.4,139,90,75,4,33.39,23.88,4.02,3.73,308,65.02,0.76,0.11,1.88,0.21,33.84,48.4,15.39,2.38,51.35,36.73,6.18,5.74,low,no
17,386-2923,510,VT,no,no,no,3,0,93,190.7,218.2,129.6,8.1,546.6,114,111,121,3,32.42,18.55,5.83,2.19,349,58.99,0.63,0.11,1.57,0.17,34.89,39.92,23.71,1.48,54.96,31.45,9.88,3.71,critical,no
18,356-2992,510,VA,no,no,yes,1,33,76,189.7,212.8,165.7,10.0,578.2,66,65,108,5,32.25,18.09,7.46,2.7,244,60.5,0.8,0.1,2.37,0.25,32.81,36.8,28.66,1.73,53.31,29.9,12.33,4.46,low,no
19,373-2782,415,TX,no,no,no,1,0,73,224.4,159.5,192.8,13.0,589.7,90,88,74,2,38.15,13.56,8.68,3.51,254,63.9,0.88,0.11,2.32,0.25,38.05,27.05,32.69,2.2,59.7,21.22,13.58,5.49,low,no
20,396-5800,415,FL,no,no,no,0,0,147,155.1,239.7,208.8,10.6,614.2,117,93,133,4,26.37,20.37,9.4,2.86,347,59.0,0.4,0.1,1.77,0.17,25.25,39.03,34.0,1.73,44.69,34.53,15.93,4.85,none,no
21,393-7984,408,CO,yes,no,no,5,0,77,62.4,169.9,209.6,5.7,447.6,89,121,64,6,10.61,14.44,9.43,1.54,280,36.02,0.47,0.08,1.6,0.13,13.94,37.96,46.83,1.27,29.46,40.09,26.18,4.28,critical,no
22,358-1958,415,AZ,no,no,no,0,0,130,183.0,72.9,181.8,9.5,447.2,112,99,78,19,31.11,6.2,8.18,2.57,308,48.06,0.37,0.11,1.45,0.16,40.92,16.3,40.65,2.12,64.73,12.9,17.02,5.35,none,no
23,350-2565,415,SC,no,no,no,2,0,111,110.4,137.3,189.6,7.7,445.0,103,102,105,6,18.77,11.67,8.53,2.08,316,41.05,0.37,0.09,1.41,0.13,24.81,30.85,42.61,1.73,45.72,28.43,20.78,5.07,high,no
24,343-4696,510,VA,no,no,no,0,0,132,81.1,245.2,237.0,10.3,573.6,86,72,115,2,13.79,20.84,10.67,2.78,275,48.08,0.36,0.08,2.09,0.17,14.14,42.75,41.32,1.8,28.68,43.34,22.19,5.78,none,no
25,331-3698,415,NE,no,no,no,3,0,174,124.3,277.1,250.7,15.5,667.6,76,112,115,5,21.13,23.55,11.28,4.19,308,60.15,0.35,0.09,2.17,0.2,18.62,41.51,37.55,2.32,35.13,39.15,18.75,6.97,critical,no
26,357-3817,408,WY,no,no,yes,0,39,57,213.0,191.1,182.7,9.5,596.3,115,112,115,3,36.21,16.24,8.22,2.57,345,63.24,1.11,0.11,1.73,0.18,35.72,32.05,30.64,1.59,57.26,25.68,13.0,4.06,none,no
27,418-6412,408,MT,no,no,no,3,0,54,134.3,155.5,102.1,14.7,406.6,73,100,68,4,22.83,13.22,4.59,3.97,245,44.61,0.83,0.11,1.66,0.18,33.03,38.24,25.11,3.62,51.18,29.63,10.29,8.9,critical,no
28,353-2630,415,MO,no,no,no,0,0,20,190.0,258.2,181.5,6.3,636.0,109,84,102,6,32.3,21.95,8.17,1.7,301,64.12,3.21,0.1,2.11,0.21,29.87,40.6,28.54,0.99,50.37,34.23,12.74,2.65,none,no
29,410-7789,510,HI,no,no,no,1,0,49,119.3,215.1,178.7,11.1,524.2,117,109,90,1,20.28,18.28,8.04,3.0,317,49.6,1.01,0.09,1.65,0.16,22.76,41.03,34.09,2.12,40.89,36.85,16.21,6.05,low,no
30,416-8428,415,IL,no,no,no,2,0,142,84.8,136.7,250.5,14.2,486.2,95,63,148,6,14.42,11.62,11.27,3.83,312,41.14,0.29,0.08,1.56,0.13,17.44,28.12,51.52,2.92,35.05,28.25,27.39,9.31,high,no
31,370-3359,510,NH,no,no,no,1,0,75,226.1,201.5,246.2,10.3,684.1,105,107,98,5,38.44,17.13,11.08,2.78,315,69.43,0.93,0.1,2.17,0.22,33.05,29.45,35.99,1.51,55.37,24.67,15.96,4.0,low,no
32,383-1121,408,LA,no,no,no,3,0,172,212.0,31.2,293.3,12.6,549.1,121,115,78,10,36.04,2.65,13.2,3.4,324,55.29,0.32,0.1,1.69,0.17,38.61,5.68,53.41,2.29,65.18,4.79,23.87,6.15,critical,no
33,360-1596,408,AZ,yes,no,no,1,0,12,249.6,252.4,280.2,11.8,794.0,118,119,90,3,42.43,21.45,12.61,3.19,330,79.68,6.64,0.1,2.41,0.24,31.44,31.79,35.29,1.49,53.25,26.92,15.83,4.0,low,yes
34,395-2854,408,OK,no,no,yes,0,25,57,176.8,195.0,213.5,8.3,593.6,94,75,116,4,30.06,16.58,9.61,2.24,289,58.49,1.03,0.1,2.05,0.2,29.78,32.85,35.97,1.4,51.39,28.35,16.43,3.83,none,no
35,362-1407,415,GA,no,no,yes,3,37,72,220.0,217.3,152.8,14.7,604.8,80,102,71,6,37.4,18.47,6.88,3.97,259,66.72,0.93,0.11,2.34,0.26,36.38,35.93,25.26,2.43,56.06,27.68,10.31,5.95,critical,no
36,341-9764,408,AK,no,no,yes,0,30,36,146.3,162.5,129.3,14.5,452.6,128,80,109,6,24.87,13.81,5.82,3.92,323,48.42,1.34,0.11,1.4,0.15,32.32,35.9,28.57,3.2,51.36,28.52,12.02,8.1,none,no
37,353-3305,415,MA,no,no,no,1,0,78,130.8,223.7,227.8,10.0,592.3,64,116,108,5,22.24,19.01,10.25,2.7,293,54.2,0.69,0.09,2.02,0.18,22.08,37.77,38.46,1.69,41.03,35.07,18.91,4.98,low,no
38,402-1381,415,AK,no,yes,yes,3,33,136,203.9,187.6,101.7,10.5,503.7,106,99,107,6,34.66,15.95,4.58,2.84,318,58.03,0.43,0.12,1.58,0.18,40.48,37.24,20.19,2.08,59.73,27.49,7.89,4.89,critical,no
